Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,triangles
Yatsuhashi Tsukumo,Yatsuhashi Tsukumo,,11,20,4,0.475196,0.503205,0.00074,0.001928,0.654545,36
Yin-Yang Orb,Yin-Yang Orb,,7,26,4,0.452736,0.47848,0.000208,0.001954,0.428571,9
Yoshika Miyako,Yoshika Miyako,,16,157,4,0.42723,0.473443,0.001493,0.006412,0.325,39
Youki Konpaku,Youki Konpaku,,4,9,4,0.381551,0.404762,0.000016,0.001131,0.833333,5
Youmu Konpaku,Youmu Konpaku,,43,582,3,0.56,0.614469,0.010991,0.016242,0.434109,392
Yukari Yakumo,Yukari Yakumo,,49,866,4,0.565217,0.628663,0.014701,0.024123,0.34949,411
Yukari's crows,Yukari's crows,,11,226,4,0.475196,0.503205,0.000017,0.006381,0.927273,51
Yuki,Yuki,,8,71,4,0.450495,0.47848,0.001584,0.002377,0.392857,11
Yumeko,Yumeko,,4,15,4,0.393939,0.41804,0.000397,0.001744,0.166667,1
Yumemi Okazaki,Yumemi Okazaki,,12,15,4,0.469072,0.500458,0.001842,0.002447,0.30303,20
YuugenMagan,YuugenMagan,,9,17,4,0.465473,0.492216,0.000695,0.002744,0.388889,14
Yuugi Hoshiguma,Yuugi Hoshiguma,,14,59,4,0.480211,0.512363,0.002136,0.002668,0.582418,53
Yuuka Kazami,Yuuka Kazami,,32,167,3,0.532164,0.578755,0.009485,0.006644,0.352823,175
Yuyuko Saigyouji,Yuyuko Saigyouji,,36,535,4,0.541667,0.592033,0.010532,0.015147,0.428571,270
Zombie Fairy,Zombie Fairy,,5,10,4,0.434368,0.459249,0.000111,0.001153,0.5,5
